movieId,title
111,Taxi Driver (1976)
151,Rob Roy (1995)
180,Mallrats (1995)
223,Clerks (1994)
316,Stargate (1994)
370,Naked Gun 33 1/3: The Final Insult (1994)
424,Blue Chips (1994)
481,Kalifornia (1993)
539,Sleepless in Seattle (1993)
592,Batman (1989)
737,Barb Wire (1996)
901,Funny Face (1957)
910,Some Like It Hot (1959)
926,All About Eve (1950)
951,His Girl Friday (1940)
994,Big Night (1996)
1090,Platoon (1986)
1207,To Kill a Mockingbird (1962)
1244,Manhattan (1979)
1287,Ben-Hur (1959)
1304,Butch Cassidy and the Sundance Kid (1969)
1371,Star Trek: The Motion Picture (1979)
1387,Jaws (1975)
1394,Raising Arizona (1987)
1414,Mother (1996)
1517,Austin Powers: International Man of Mystery (1997)
1614,In & Out (1997)
1653,Gattaca (1997)
1674,Witness (1985)
1722,Tomorrow Never Dies (1997)
1799,Suicide Kings (1997)
1882,Godzilla (1998)
1914,Smoke Signals (1998)
1945,On the Waterfront (1954)
1959,Out of Africa (1985)
1983,Halloween II (1981)
1995,Poltergeist II: The Other Side (1986)
2115,Indiana Jones and the Temple of Doom (1984)
2160,Rosemary's Baby (1968)
2231,Rounders (1998)
2248,Say Anything... (1989)
2302,My Cousin Vinny (1992)
2366,King Kong (1933)
2393,Star Trek: Insurrection (1998)
2431,Patch Adams (1998)
2490,Payback (1999)
2580,Go (1999)
2644,Dracula (1931)
2723,Mystery Men (1999)
2841,Stir of Echoes (1999)
2890,Three Kings (1999)
2922,Hang 'Em High (1968)
2963,Joe the King (1999)
2997,Being John Malkovich (1999)
3074,Jeremiah Johnson (1972)
3104,Midnight Run (1988)
3168,Easy Rider (1969)
3190,Supernova (2000)
3252,Scent of a Woman (1992)
3259,Far and Away (1992)
3359,Breaking Away (1979)
3408,Erin Brockovich (2000)
3437,Cool as Ice (1991)
3471,Close Encounters of the Third Kind (1977)
3535,American Psycho (2000)
3646,Big Momma's House (2000)
3705,Bird on a Wire (1990)
3752,"Me, Myself & Irene (2000)"
3793,X-Men (2000)
3844,Steel Magnolias (1989)
3967,Billy Elliot (2000)
4007,Wall Street (1987)
4022,Cast Away (2000)
4060,Love Field (1992)
4124,Jaws: The Revenge (1987)
4205,Mermaids (1990)
4231,Someone Like You (2001)
4275,Krull (1983)
4333,Throw Momma from the Train (1987)
4386,Cats & Dogs (2001)
4477,Big Top Pee-Wee (1988)
4595,Fat Man and Little Boy (1989)
4678,UHF (1989)
4722,All Over the Guy (2001)
4776,Training Day (2001)
4855,Dirty Harry (1971)
4941,Flash Gordon (1980)
4974,Not Another Teen Movie (2001)
5014,I Am Sam (2001)
5110,Super Troopers (2001)
5205,Motel Hell (1980)
5292,Slap Shot (1977)
5337,Delirious (1991)
5434,"Sorry, Wrong Number (1948)"
5485,Tadpole (2002)
5541,Hot Shots! (1991)
5677,Abandon (2002)
5810,8 Mile (2002)
5944,Star Trek: Nemesis (2002)
5990,Pinocchio (2002)
6166,Dennis the Menace (1993)
6267,Assassination Tango (2002)
6349,Breakin' (1984)
6550,Johnny English (2003)
6724,Paper Moon (1973)
7027,Silverado (1985)
7173,Along Came Polly (2004)
7366,Jersey Girl (2004)
8596,Revenge of the Pink Panther (1978)
8880,Mask (1985)
26629,Killer Klowns from Outer Space (1988)
31049,Out Cold (1989)
36519,Transporter 2 (2005)
40964,In the Mix (2005)
42732,Last Holiday (2006)
44193,She's the Man (2006)
44709,Akeelah and the Bee (2006)
45666,Nacho Libre (2006)
47707,My Geisha (1962)
49272,Casino Royale (2006)
51412,Next (2007)
53000,28 Weeks Later (2007)
55245,Good Luck Chuck (2007)
56176,Alvin and the Chipmunks (2007)
57951,Fool's Gold (2008)
59315,Iron Man (2008)
65802,Paul Blart: Mall Cop (2009)
71325,Love Happens (2009)
75803,Our Family Wedding (2010)
78088,Buried (2010)
79293,Salt (2010)
80219,Machete (2010)
80586,Flipped (2010)
80846,Devil (2010)
81562,127 Hours (2010)
82459,True Grit (2010)
83177,Yogi Bear (2010)
85131,Battle: Los Angeles (2011)
86190,Hanna (2011)
87304,Beginners (2010)
87520,Transformers: Dark of the Moon (2011)
88179,One Day (2011)
89427,Shark Night 3D (2011)
91653,We Bought a Zoo (2011)
93326,This Means War (2012)
94953,Wanderlust (2012)
97836,Here Comes the Boom (2012)
99441,Born to Be Wild (2011)
101739,Evil Dead (2013)
103249,World War Z (2013)
104608,Autopsy (2008)
108156,Ride Along (2014)
109895,Bad Words (2013)
112450,They Came Together (2014)
113416,Revenge of the Green Dragons (2014)
114795,Dracula Untold (2014)
118350,Tell (2014)
125912,Not Another Happy Ending (2013)
128592,The Boy Next Door (2015)
